Nombre del local,ID de pedido,ID del restaurante,Método de entrega,Forma de pago,Estado del pedido,Fecha del pedido,Aceptado en,Lista para retiro,Rider near pickup at,Enviado a,Entregado en,Cancelado en,Motivo de rechazo,Tipo de rechazo,Total del pedido,Tarifa mínima por pedido,Vendor Refunds,Descuentos subsidiados por la tienda,Voucher subsidiado por la tienda,Servicio PedidosYa,Cargos,Joker Fee,Is Payable,Is Paid,Ingreso estimado,Cash amount already collected by vendor,Monto adeudado a PedidosYa,Payout Amount,PedidosYa-Funded Discount,PedidosYa-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Artículos
Starbucks Acropolis,1200781571,235038,Plataforma de entrega,Online,Entregado,2024-06-12 10:02,2024-06-12 10:02,,2024-06-12 10:04,2024-06-12 10:10,2024-06-12 10:16,,,,"885,00","0,00","0,00","0,00","0,00","141,60","0,00","0,00",,,"740,21","0,00","0,00","740,21","0,00","0,00","0,00","0,00","0,00","1 Cold Brew Vanilla Sweet Cream [1 Blanca, 1 Mezclada, 1 Alto  12oz], 1 Chocolate Chip Cookies, 1 Panini de Pollo y Tocineta Ahumada"
Starbucks Acropolis,1200782033,235038,Plataforma de entrega,Online,Entregado,2024-06-12 10:11,2024-06-12 10:12,,2024-06-12 10:17,2024-06-12 10:26,2024-06-12 10:49,,,,"1.060,00","0,00","0,00","0,00","0,00","169,60","0,00","0,00",,,"886,58","0,00","0,00","886,58","42,50","0,00","42,50","0,00","0,00","1 Caramel Frappuccino [1 Si, 1 Entera, 1 Grande 16oz], 1 Chocolate Chip Cookies, 2 Sandwich de Salchicha, Queso Cheddar & Huevo"
Starbucks Acropolis,1200782970,235038,Plataforma de entrega,Online,Entregado,2024-06-12 10:26,2024-06-12 10:27,,2024-06-12 10:28,2024-06-12 10:32,2024-06-12 10:46,,,,"285,00","0,00","0,00","0,00","0,00","45,60","0,00","0,00",,,"238,37","0,00","0,00","238,37","0,00","0,00","0,00","0,00","0,00","1 Caramel Macchiato [1 Alto  12oz, 1 Caliente, 1 Deslactosada, 1 Splenda]"
Starbucks Acropolis,1200783759,235038,Plataforma de entrega,Online,Entregado,2024-06-12 10:40,2024-06-12 10:40,,2024-06-12 10:41,2024-06-12 10:45,2024-06-12 10:52,,,,"395,00","0,00","0,00","0,00","0,00","63,20","0,00","0,00",,,"330,38","0,00","0,00","330,38","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Venti 20oz, 1 Deslactosada]"
Starbucks Acropolis,1200795234,235038,Plataforma de entrega,Efectivo,Entregado,2024-06-12 10:13,2024-06-12 10:13,,2024-06-12 10:17,2024-06-12 10:26,2024-06-12 10:36,,,,"1.312,00","0,00","0,00","0,00","0,00","209,92","0,00","0,00",,,"1.097,36","0,00","0,00","1.097,36","0,00","0,00","0,00","0,00","0,00","1 Croissant de Mantequilla, 2 Pan De Chocolate, 2 Croissant de Jamón y Queso, 1 Croissant Nocciola"
Starbucks Acropolis,1200795276,235038,Plataforma de entrega,Online,Entregado,2024-06-12 10:14,2024-06-12 10:14,,2024-06-12 10:18,2024-06-12 10:28,2024-06-12 10:33,,,,"925,00","0,00","0,00","0,00","0,00","148,00","0,00","0,00",,,"773,67","0,00","0,00","773,67","0,00","0,00","0,00","0,00","0,00","2 Cold Brew Vanilla Sweet Cream [1 Crema, 1 Grande 16oz], 1 Sandwich de Salchicha, Queso Cheddar & Huevo"
Starbucks Acropolis,1200796864,235038,Plataforma de entrega,Efectivo,Entregado,2024-06-12 10:41,2024-06-12 10:42,,2024-06-12 10:41,2024-06-12 10:45,2024-06-12 11:02,,,,"295,00","0,00","0,00","0,00","0,00","47,20","0,00","0,00",,,"246,74","0,00","0,00","246,74","0,00","0,00","0,00","0,00","0,00","1 Espresso Frappuccino® [1 Alto  12oz, 1 Entera]"
Starbucks Acropolis,1200797283,235038,Plataforma de entrega,Online,Entregado,2024-06-12 10:48,2024-06-12 10:48,,2024-06-12 10:52,2024-06-12 10:58,2024-06-12 11:04,,,,"975,00","0,00","0,00","0,00","0,00","156,00","0,00","0,00",,,"815,49","0,00","0,00","815,49","0,00","0,00","0,00","0,00","0,00","1 Java Chip Frappuccino® [1 Alto  12oz, 1 Si, 1 Almond Milk], 1 Mocha Frappuccino® [1 Alto  12oz, 1 Si, 1 Semidescremada], 1 Lemon Loaf, 1 Banana Nut Loaf"
Starbucks Acropolis,1200797784,235038,Plataforma de entrega,Online,Entregado,2024-06-12 10:56,2024-06-12 10:56,,2024-06-12 10:56,2024-06-12 10:59,2024-06-12 11:02,,,,"255,00","0,00","0,00","0,00","0,00","40,80","0,00","0,00",,,"213,28","0,00","0,00","213,28","17,50","0,00","17,50","0,00","0,00","1 Cold Brew Vanilla Sweet Cream [1 Splenda, 1 Alto  12oz]"
Starbucks Acropolis,1200800069,235038,Plataforma de entrega,Online,Entregado,2024-06-12 11:24,2024-06-12 11:24,,2024-06-12 11:24,2024-06-12 11:27,2024-06-12 11:33,,,,"450,00","0,00","0,00","0,00","0,00","72,00","0,00","0,00",,,"376,38","0,00","0,00","376,38","0,00","0,00","0,00","0,00","0,00","1 Pink Drink [1 Grande 16oz], 1 Danés de Queso"
Starbucks Acropolis,1200801913,235038,Plataforma de entrega,Online,Entregado,2024-06-12 11:43,2024-06-12 11:44,,2024-06-12 11:49,2024-06-12 11:56,2024-06-12 12:02,,,,"510,00","0,00","0,00","0,00","0,00","81,60","0,00","0,00",,,"426,56","0,00","0,00","426,56","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Entera, 1 Grande 16oz], 1 Danés de Queso"
Starbucks Acropolis,1200802279,235038,Plataforma de entrega,Online,Entregado,2024-06-12 11:48,2024-06-12 11:48,,2024-06-12 11:49,2024-06-12 11:56,2024-06-12 12:11,,,,"495,00","0,00","0,00","0,00","0,00","79,20","0,00","0,00",,,"414,02","0,00","0,00","414,02","0,00","0,00","0,00","0,00","0,00","1 Café Latte [1 Caliente, 1 Entera, 1 Caramel, 1 Grande 16oz], 1 Danés de Queso"
Starbucks Acropolis,1200859059,235038,Plataforma de entrega,Online,Entregado,2024-06-12 11:35,2024-06-12 11:35,,2024-06-12 11:38,2024-06-12 11:43,2024-06-12 11:48,,,,"810,00","0,00","0,00","0,00","0,00","129,60","0,00","0,00",,,"677,48","0,00","0,00","677,48","0,00","0,00","0,00","0,00","0,00","2 Americano [1 Caliente, 1 Deslactosada, 1 Sin Azúcar, 1 Alto  12oz], 1 Matcha Latte [1 Stevia, 1 Grande 16oz, 1 Caliente, 1 Semidescremada], 1 Lemon Loaf"
