Nombre del local,ID de pedido,ID del restaurante,Método de entrega,Forma de pago,Estado del pedido,Fecha del pedido,Aceptado en,Lista para retiro,Rider near pickup at,Enviado a,Entregado en,Cancelado en,Motivo de rechazo,Tipo de rechazo,Total del pedido,Tarifa mínima por pedido,Vendor Refunds,Descuentos subsidiados por la tienda,Voucher subsidiado por la tienda,Servicio PedidosYa,Cargos,Joker Fee,Is Payable,Is Paid,Ingreso estimado,Cash amount already collected by vendor,Monto adeudado a PedidosYa,Payout Amount,PedidosYa-Funded Discount,PedidosYa-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Artículos
Starbucks Galería 360,1189602747,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 09:46,2024-06-01 09:47,,2024-06-01 09:48,2024-06-01 09:55,2024-06-01 10:15,,,,"590,00","0,00","0,00","0,00","0,00","94,40","0,00","0,00",,,"493,48","0,00","0,00","493,48","0,00","0,00","0,00","0,00","0,00","1 Americano [1 Fria, 1 Almond Milk, 1 Sin Azúcar, 1 Venti 20oz], 1 Iced Passion Tea® [1 Venti (20oz), 1 Si]"
Starbucks Galería 360,1189606592,183569,Plataforma de entrega,Online,Entregado,2024-06-01 10:42,2024-06-01 10:42,,2024-06-01 10:42,2024-06-01 10:59,2024-06-01 11:06,,,,"1.075,00","0,00","0,00","0,00","0,00","172,00","0,00","0,00",,,"899,13","0,00","0,00","899,13","0,00","0,00","0,00","0,00","0,00","1 Caramel Macchiato [1 Caramel, 1 Caramelo, 1 Mezclada, 1 Grande 16oz, 1 Fria, 1 Entera, 1 Crema], 1 Café Latte [1 Caramelo, 1 Grande 16oz, 1 Entera, 1 No, 1 Fria, 1 Caramel], 1 Sandwich de Salchicha, Queso Cheddar & Huevo"
Starbucks Galería 360,1189627237,183569,Plataforma de entrega,Online,Entregado,2024-06-01 11:25,2024-06-01 11:25,,2024-06-01 11:35,2024-06-01 11:40,2024-06-01 11:51,,,,"600,00","0,00","0,00","0,00","0,00","96,00","0,00","0,00",,,"501,84","0,00","0,00","501,84","17,50","0,00","17,50","0,00","0,00","1 Hot Chocolate [1 Entera, 1 Si, 1 Grande 16oz], 1 Sandwich de Salchicha, Queso Cheddar & Huevo"
Starbucks Galería 360,1189627566,183569,Plataforma de entrega,Online,Entregado,2024-06-01 11:28,2024-06-01 11:28,,2024-06-01 11:33,2024-06-01 11:42,2024-06-01 11:56,,,,"670,00","0,00","0,00","0,00","0,00","107,20","0,00","0,00",,,"560,39","0,00","0,00","560,39","0,00","0,00","0,00","0,00","0,00","1 Strawberries & Cream Frappuccino® [1 Grande 16oz, 1 Si, 1 Semidescremada], 1 Dragon Drink [1 Grande 16oz]"
Starbucks Galería 360,1189633262,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 12:20,2024-06-01 12:20,,2024-06-01 12:22,2024-06-01 12:26,2024-06-01 12:40,,,,"730,00","0,00","0,00","0,00","0,00","116,80","0,00","0,00",,,"610,57","0,00","0,00","610,57","0,00","0,00","0,00","0,00","0,00","2 Caramel Frappuccino [1 Grande 16oz, 1 Semidescremada]"
Starbucks Galería 360,1189635489,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 11:21,2024-06-01 11:21,,2024-06-01 11:22,2024-06-01 11:40,2024-06-01 12:08,,,,"520,00","0,00","0,00","0,00","0,00","83,20","0,00","0,00",,,"434,93","0,00","0,00","434,93","0,00","0,00","0,00","0,00","0,00","2 Americano [1 Fria, 1 Coconut, 1 Sin Azúcar, 1 Venti 20oz]"
Starbucks Galería 360,1189690720,183569,Plataforma de entrega,Online,Entregado,2024-06-01 12:27,2024-06-01 12:28,,2024-06-01 12:29,2024-06-01 12:34,2024-06-01 12:47,,,,"1.030,00","0,00","0,00","0,00","0,00","164,80","0,00","0,00",,,"861,49","0,00","0,00","861,49","17,50","0,00","17,50","0,00","0,00","1 Café Latte [1 Caliente, 1 Semidescremada, 1 Grande 16oz], 1 Caramel Frappuccino [1 Grande 16oz, 1 Si, 1 Semidescremada], 2 Banana Nut Loaf"
Starbucks Galería 360,1189694192,183569,Plataforma de entrega,Online,Entregado,2024-06-01 12:51,2024-06-01 12:51,2024-06-01 13:04,2024-06-01 12:58,2024-06-01 13:34,2024-06-01 13:46,,,,"640,00","0,00","0,00","0,00","0,00","102,40","0,00","0,00",,,"535,30","0,00","0,00","535,30","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Grande 16oz, 1 Deslactosada], 1 Sandwich de Salchicha, Queso Cheddar & Huevo"
Starbucks Galería 360,1189703632,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 13:05,2024-06-01 13:05,,2024-06-01 13:13,2024-06-01 13:20,2024-06-01 13:26,,,,"355,00","0,00","0,00","0,00","0,00","56,80","0,00","0,00",,,"296,92","0,00","0,00","296,92","0,00","0,00","0,00","0,00","0,00",1 Strawberry Açaí Frozen Refresher [1 Venti (20oz)]
Starbucks Galería 360,1189760736,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 13:48,2024-06-01 13:49,,2024-06-01 13:53,2024-06-01 14:04,2024-06-01 14:13,,,,"355,00","0,00","0,00","0,00","0,00","56,80","0,00","0,00",,,"296,92","0,00","0,00","296,92","0,00","0,00","0,00","0,00","0,00","1 Coffee Frappuccino® [1 No, 1 Entera, 1 Venti 20oz]"
